What is weight decay?	L2 regularization on the weights.<br>\(E_j = E_{j-1} + \lambda \sum_i^n w_i^2\)
What is <b>bagging</b>?	Ensemble models trained on subsets with overlap of the dataset
What is the bias-variance tradeoff?	Balancing the current accuracy (bias) with the generalization power (variance)
What is the formula of the cross-entropy?	\(H(p, q) = - \sum_x p(x) \log q(x)\)
What is the formula of the <b>Kullback-Leibler</b> divergence?	\(D_{KL}(p, q) = - \sum_x p(x) \log \frac{q(x)}{p(x)}\)
What is the Kullback-Leibler divergence?	A measure of how one distribution diverges from a second, expected distribution.
What is the recall?	The % of positive elements detected<br>\(\text{recall} = \frac{TP}{P}\)
What is the precision?	The % of detected elements that are positive<br>\(\text{precision} = \frac{TP}{TP+FP}\)
What is the f1-score?	Harmonic average of the recall &amp; the precision
What is the harmonic average?	Average for rates<br><br>\(H = \frac{n}{\sum_{i=1}^n \frac{1}{x_i}}\)
What is the <b>Exponential Moving Average?</b>	Moving average applying a weight to the current element<br><br>\(S_t = \alpha \cdot Y_t + (1 - \alpha) \cdot S_{t-1}\)
What is the l1 distance?	\(\sum_{i=1}^n |x_i - y_i|\)
What is the l2 distance?	\((\sum_{i=1}^n |x_i - y_i|^2)^{\frac{1}{2}}\)
What improvements did the Fast-RCNN?	Removed the SVM to add RoI pooling &amp; fully connected layers
What improvements did the Faster-RCNN?	Replaced the Selective Search by a Region Proposal Network
What is the characteristic of <b>2-stage detection</b> algorithms?	They have a stage to classify objects between background &amp; foreground
What is the sigmoid formula?	\(\sigma(x) = \frac{1}{1 + e^{-x}}\)
What is the sigmoid derivative?	\(\sigma'(x) = \sigma(x)(1 - \sigma(x))\)
What is a Triplet Network?	A network computing a pair-wise distance between one sample and two labeled samples
In lowshots learning, what is <b>n-way</b>?	The number n of previously unseen classes
In lowshot learning, what is k-shots?	The number of classified samples per class
How does <b>Matching Network</b> encode the support set?	ConvNet on each sample, then Bi-LSTM of the whole set
What is a depthwise convolution?	"A convolution that maps one unique kernel per input channels<br><br><img src=""1LVyPaSrFFKkjmktzH1cYzg.png"">"
What is the computational cost of a depthwise convolution?	"\(D_f^2 \cdot M \cdot D_k^2\)<br><br><img src=""1LVyPaSrFFKkjmktzH1cYzg.png"">"
What is the computational cost of a convolution?	"\(D_f^2 * M * N * D_k^2\)<br><img src=""1ZbeQ1-KHpegpYbz7ODXZYw.png"">"
What is a pointwise convolution?	"Convolution with a 1x1 kernel that maps input channels with output channels<br><img src=""1KiirgK6_dilzs8-muumnIw.png"">"
What is the computational cost of a pointwise convolution?	"\(M * N * D_f^2\)<br><img src=""1KiirgK6_dilzs8-muumnIw.png"">"
What does <b>MobileNet</b> use?	Depthwise separable convolutions =<br>depthwise convolution +<br>pointwise convolution
What is MobileNet's <b>width multiplier</b>?	A factor between 0 and 1 to thin the number of channels at each convolution
What is a group convolution in ShuffleNet?	"Several convolutions each taking as input a portion of the input channels<br><br><img src=""1Du6kevcjT2Gj1w55xYFymQ.png"">"
What is the <b>computational cost</b> of a group convolution in ShuffleNet?	\((D_f^2 * D_k^2 * \frac{M}{G} * \frac{N}{G}) * G\)
What does ShuffleNet use?	"<div>Group convolution + channel shuffle + Depthwise convolution. And residual branch</div><div><br></div><img src=""paste-4e381d07a2ba7ae73d35001e4736329bd4fe8db6.jpg"">"
What is InfoGAN?	A GAN that disentangle the representation so we can modify the latent vector to produce wanted modification on the generated image
What is a Feature Pyramid Network?	"Network that feature maps at multiple scales<br><br><img src=""1Q1cHeGjHpe73wdlUsb1sjA.png"">"
In a LSTM unit, what does the <b>forget gate</b> do?	"It multiplies (i.e. ~forget) the cell state by a sigmoid result<br><br><img src=""paste-a1032ae525544a1158728fe0e335b752a4bec3b6.jpg"">"
In a LSTM unit, what does the <b>input gate</b> do?	"A sigmoid decides which values to update &amp; a tanh to create new candidate values to add to the cell state<br><br><img src=""paste-aac2366c228704c4950de3f9eca514c86a89d135.jpg"">"
In a LSTM unit, what does the <b>output gate</b> do?	"Apply a sigmoid on the concatenation of the input and the hidden state, to select the tanh result of the cell state<br><br><img src=""paste-70fd315b145080c056f4d41a3d06b34049c13bc2.jpg"">"
In a LSTM unit, what are the <b>three gates</b>?	<b>Forget</b> gate, <b>input</b> gate, and <b>output</b> gate
In a LSTM unit, what are the <b>peephole connections</b>?	"Connections between the cell state and the gates<br><br><img src=""paste-7b0eeb4119b89a37728fd45a9280ff7d88abc52b.jpg"">"
How does <b>GRU</b> change the LSTM unit?	"It combines the <b>forget</b> &amp; <b>input</b> gate<br>It merges the <b>hidden</b> &amp; <b>cell</b> state<br><br><img src=""paste-79044a80806580c083895abc07adb7b690f16474.jpg"">"
What is a function K <b>Lipschitz continuous</b>?	"\(|f(x_1) - f(x_2)| \le K |x_1 - x_2|\)<br><br><img src=""paste-eb38e1438c0a7b73cd6dbf06f937f8134b24579e.jpg"">"
On what is applied the <b>batch norm</b>?	"On the <b>whole batch</b> for <b>one channel<br><br></b><img src=""paste-460c627729ddb05567780752cd19d92dc77ed1f4.jpg""><b><br></b>"
On what is applied the <b>layer norm</b>?	"On <b>one image</b> for <b>all channels<br><br></b><img src=""paste-07a3998c9ce59d56fb48f28b65cde17062e226dc.jpg""><b><br></b>"
On what is applied the <b>instance norm</b>?	"On <b>one image</b> for <b>one channel<br><br></b><img src=""paste-213fc2bbea421b98885e3626b265749cbc89e5d8.jpg""><b><br></b>"
On what is applied the <b>group norm</b>?	"On <b>one image</b> for a <b>group of channels<br><br></b><img src=""paste-6d56d614bde3536fb658bc1d6e2893e9162b72fb.jpg""><b><br></b>"
What is the goal of the <b>focal loss</b>?	To give less importance to well classified examples
What is the formula of the <b>focal loss</b>?	\(\text{FL}(p_t) = - (1 - p_t)^\gamma \log p_t\)
What is the formula of softmax?	\(\sigma_j(z) = \frac{e^{z_j}}{\sum_{k=1}^K e_{z_k}}\)
What is <b>hard negative mining</b>?	Explicit sampling of hard examples<br><br>These can be previous false positives
Worst case time complexity of <b>Quicksort</b>?	\(\mathcal{O}(n^2)\)
Worst case time complexity of <b>Merge Sort</b>?	\(\mathcal{O}(n \log n)\)
Worst case time complexity of <b>Bubble Sort</b>?	\(\mathcal{O}(n^2)\)
Worst case time complexity of <b>Heapsort</b>?	\(\mathcal{O}(n \log n)\)
Worst case time complexity of <b>Insertion Sort</b>?	\(\mathcal{O}(n^2)\)
What is <b>Bayes' rule</b>?	\(P(A | B) = \frac{P(B | A) P(A)}{P(B)}\)
<div>What is a matrix product?<br></div>	"A line with a column:<br><img src=""paste-cea1b10ec744705a0fa2d839148e6482a0f41e6f.jpg"">"
What is the <b>variance </b>formula?	\(\sigma^2 = \frac{\sum_{i=1}^n (x_i - \mu)^2}{n}\)
What is <b>dropout</b>?	Randomly drop neurons during training<br><br>Avoid overfitting<br><br>Can be seen as an ensemble
What does a NALU do?	Multiplication, division, &amp; power
What is RoI pooling?	"The Region of Interest pooling extracts a box from the feature maps &amp; standardizes its shape<br><br><img src=""roi_pooling.svg"">&nbsp;<div><br></div><div><img src=""roi_pooling2.svg""><br></div>"
What is a <b>Region Proposal Network </b>(RPN)?	"A mini-network:<div>- applying anchors of different sizes &amp; ratios<br>- classifying between background &amp; foreground<br>- regressing deltas for the bboxes<br><br><img src=""paste-28856b63168cfa84462216b8da11cb01c6829d0d.jpg""></div>"
CBOW predicts the ... based on the ...	CBOW predicts the <b>center word</b> based on the <b>context</b>
What is the Switchable Normalization?	Normalization where the mean \(\mu\) and the variance \(\sigma^2\) are a weighted linear combination between the stats of:<br>- Instance norm<br>- Layer norm<br>- Batch norm
What is the <b>Instance Norm</b> used for?	Normalize the contrast of the content image in style transfer
What is the layer norm used for?	Normalize the input of each RNN's cell independently
Why <b>Group Normalization</b> normalizes channels per group?	It is assumed that channels specialize in tasks (frequency, shapes, illumination, textures). One group's channels would have the same task
What is <b>weight normalization</b> formula?	<div>\(y = \phi(W \cdot x + b)\)<br></div><div>with:</div><div>\(W = \frac{g}{\Vert V \Vert}V\)<br></div>
What is <b>cosine normalization</b> formula?	Replacing the dot product by the cosine similarity:<div><br></div><div>\(y = \phi(\frac{W \cdot X}{\Vert W \Vert \Vert X \Vert})\)</div>
What is DenseNet?	"A CNN where each block has residuals to all subsequent layers<div><br></div><div><img src=""paste-fb7d96bd41c3fd227fc20c14661df7eb766af98f.jpg""><br></div>"
What is the meta-learning algo <b>Reptile</b>?	1. Starts with parameter \(W_1\)<div>2. Train on task \(T_1\) to get new weights \(W_2\)</div><div>3. \(T_1\) Gradient is interpolation between \(W_1\) and \(W_2\)</div>
What is the formula of a <b>neuron</b> from a fully connected layer?	"\(\sum_i^n w_i x_i + b = w \cdot x + b = w^Tx + b\)<br><br><img src=""paste-c64521dae7877c8160468a630e0914bc0099d724.jpg"">"
